site,sensortype,lat,long
TLA01,LTM,33.7643454,-85.603754
TLA02,STIC,33.764551,-85.604751
TLA03,STIC,33.7644045,-85.605693
TLA04,STIC,33.7645628,-85.607155
TLC01,LTM,33.761607,-85.596612
TLC02,STIC,33.7626084,-85.59914
TLB01,STIC,33.7596122,-85.599329
TLM01,scan,33.7621789,-85.595521
TLM02,STIC,33.7620203,-85.596183
TLM03,STIC,33.7615216,-85.596257
TLM04,STIC,33.7607446,-85.597521
TLM05,STIC,33.7604369,-85.598603
TLM06,extra,33.7602042,-85.599333
TLM07,STIC,33.7601638,-85.600005
TLM08,STIC,33.7605035,-85.601314
TLM09,STIC,33.760679,-85.601883
TLM10,LTM,33.7614225,-85.602875
TLM11,STIC,33.7610002,-85.602624
TLM12,STIC,33.7618377,-85.602924
TLM13,STIC,33.7622066,-85.602907
TLM14,STIC,33.7630154,-85.602298
TLM15,STIC,33.7638369,-85.602884
TLM16,extra,33.7647263,-85.603235
TLM17,STIC,33.7660857,-85.604409
TLM18,STIC,33.7672934,-85.604906
TLM19,extra,33.7680935,-85.605681
TLM20,STIC,33.7686589,-85.605026
